,DinoJumpVelocity,DinoJumping,DinoJumpspotX,DinoMidair,DinoMinJumpHeight,DinoReachedMinHeight,DinoSpeedDrop,DinoSpritePosX,DinoSpritePosY,DinoStatus,DinoXPos,DinoYPos,ObstacleDimHeight_0,ObstacleDimHeight_1,ObstacleDimHeight_2,ObstacleDimWidth_0,ObstacleDimWidth_1,ObstacleDimWidth_2,ObstacleGapCoefficient_0,ObstacleGapCoefficient_1,ObstacleGapCoefficient_2,ObstacleGap_0,ObstacleGap_1,ObstacleGap_2,ObstacleSpritePosX_0,ObstacleSpritePosX_1,ObstacleSpritePosX_2,ObstacleSpritePosY_0,ObstacleSpritePosY_1,ObstacleSpritePosY_2,ObstacleTypeConfigHeight_0,ObstacleTypeConfigHeight_1,ObstacleTypeConfigHeight_2,ObstacleTypeConfigMinGap_0,ObstacleTypeConfigMinGap_1,ObstacleTypeConfigMinGap_2,ObstacleTypeConfigMinSpeed_0,ObstacleTypeConfigMinSpeed_1,ObstacleTypeConfigMinSpeed_2,ObstacleTypeConfigMultipleSpeed_0,ObstacleTypeConfigMultipleSpeed_1,ObstacleTypeConfigMultipleSpeed_2,ObstacleTypeConfigType_0,ObstacleTypeConfigType_1,ObstacleTypeConfigType_2,ObstacleTypeConfigWidth_0,ObstacleTypeConfigWidth_1,ObstacleTypeConfigWidth_2,ObstacleTypeConfigYPos_0,ObstacleTypeConfigYPos_1,ObstacleTypeConfigYPos_2,ObstacleWidth_0,ObstacleWidth_1,ObstacleWidth_2,ObstacleXPos_0,ObstacleXPos_1,ObstacleXPos_2,ObstacleYPos_0,ObstacleYPos_1,ObstacleYPos_2,RunnerCurrentSpeed,frame_ts,key_pressed,key_event_type
61,-6.473899999309342,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.369000000000123,1549808473.6984031,,
62,-4.978399998974055,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.373000000000125,1549808473.718528,,
63,-3.79399999929592,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.375000000000125,1549808473.738285,,
64,-3.1891999999061227,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.377000000000126,1549808473.755666,,
65,-2.595199998933822,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.379000000000127,1549808473.773643,38,Up
66,-1.9939999976195395,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.381000000000127,1549808473.79296,,
67,-1.385600000154227,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.383000000000128,1549808473.8106072,,
68,-0.7915999991819264,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.385000000000129,1549808473.8298829,,
69,-0.17599999718368065,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.387000000000129,1549808473.847971,,
70,0.40720000118017174,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.38900000000013,1549808473.866101,,
